Strain	Environment	Experiment	Flask	Avg_GR	DFE_mean	Env_GR	Env_DFE_mean	GR_std	GR_max	GR_std_max_excluded	Env_series	DFE_graph
LK5-E09	30_SC5	LK5-E09_30_SC5	2	0.252044768664481	0.011230468697280364	0.335066005;0.16761963863072152;0.252044768664481;0.23355939341835502;0.277871369374464;0.3129307940416195;0.08241962240502734	-0.017920461775719605;0.0037792901413570643;0.011230468697280364;-0.006147354236968426;0.002274069793927899;-0.009857607870236438;0.02508997663828585	0.07622454822777552	0.3129307940416195	0.07033625533785098	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-E09_dfes.png
LK5-E09	30_SC7	LK5-E09_30_SC7	2	0.23355939341835502	-0.006147354236968426	0.335066005;0.16761963863072152;0.252044768664481;0.23355939341835502;0.277871369374464;0.3129307940416195;0.08241962240502734	-0.017920461775719605;0.0037792901413570643;0.011230468697280364;-0.006147354236968426;0.002274069793927899;-0.009857607870236438;0.02508997663828585	0.07622454822777552	0.3129307940416195	0.07033625533785098	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-E09_dfes.png
LK5-E09	37_SC3	LK5-E09_37_SC3	1	0.277871369374464	0.002274069793927899	0.335066005;0.16761963863072152;0.252044768664481;0.23355939341835502;0.277871369374464;0.3129307940416195;0.08241962240502734	-0.017920461775719605;0.0037792901413570643;0.011230468697280364;-0.006147354236968426;0.002274069793927899;-0.009857607870236438;0.02508997663828585	0.07622454822777552	0.3129307940416195	0.07033625533785098	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-E09_dfes.png
LK5-E09	37_SC5	LK5-E09_37_SC5	1	0.3129307940416195	-0.009857607870236438	0.335066005;0.16761963863072152;0.252044768664481;0.23355939341835502;0.277871369374464;0.3129307940416195;0.08241962240502734	-0.017920461775719605;0.0037792901413570643;0.011230468697280364;-0.006147354236968426;0.002274069793927899;-0.009857607870236438;0.02508997663828585	0.07622454822777552	0.3129307940416195	0.07033625533785098	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-E09_dfes.png
LK5-E09	37_SC7	LK5-E09_37_SC7	1	0.08241962240502734	0.02508997663828585	0.335066005;0.16761963863072152;0.252044768664481;0.23355939341835502;0.277871369374464;0.3129307940416195;0.08241962240502734	-0.017920461775719605;0.0037792901413570643;0.011230468697280364;-0.006147354236968426;0.002274069793927899;-0.009857607870236438;0.02508997663828585	0.07622454822777552	0.3129307940416195	0.07033625533785098	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-E09_dfes.png
LK5-F07	30_SC3	LK5-F07_30_SC3	1	0.1871614812486125	-0.0020316387612065064	0.407171065;0.1871614812486125;0.2868534398216915;0.1974306482129875;0.32488933637355244;0.3463412487715205;0.11380828133106449	-0.03904490181354677;-0.0020316387612065064;0.018968593229273852;-0.0007603560726667339;-0.011282474931919199;-0.02376628939711498;0.0071979952483275066	0.08285833758322012	0.3463412487715205	0.07525291159836398	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-F07_dfes.png
LK5-F07	30_SC5	LK5-F07_30_SC5	2	0.2868534398216915	0.018968593229273852	0.407171065;0.1871614812486125;0.2868534398216915;0.1974306482129875;0.32488933637355244;0.3463412487715205;0.11380828133106449	-0.03904490181354677;-0.0020316387612065064;0.018968593229273852;-0.0007603560726667339;-0.011282474931919199;-0.02376628939711498;0.0071979952483275066	0.08285833758322012	0.3463412487715205	0.07525291159836398	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-F07_dfes.png
LK5-F07	30_SC7	LK5-F07_30_SC7	3	0.1974306482129875	-0.0007603560726667339	0.407171065;0.1871614812486125;0.2868534398216915;0.1974306482129875;0.32488933637355244;0.3463412487715205;0.11380828133106449	-0.03904490181354677;-0.0020316387612065064;0.018968593229273852;-0.0007603560726667339;-0.011282474931919199;-0.02376628939711498;0.0071979952483275066	0.08285833758322012	0.3463412487715205	0.07525291159836398	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-F07_dfes.png
LK5-F07	37_SC3	LK5-F07_37_SC3	2	0.32488933637355244	-0.011282474931919199	0.407171065;0.1871614812486125;0.2868534398216915;0.1974306482129875;0.32488933637355244;0.3463412487715205;0.11380828133106449	-0.03904490181354677;-0.0020316387612065064;0.018968593229273852;-0.0007603560726667339;-0.011282474931919199;-0.02376628939711498;0.0071979952483275066	0.08285833758322012	0.3463412487715205	0.07525291159836398	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-F07_dfes.png
LK5-F07	37_SC5	LK5-F07_37_SC5	1	0.3463412487715205	-0.02376628939711498	0.407171065;0.1871614812486125;0.2868534398216915;0.1974306482129875;0.32488933637355244;0.3463412487715205;0.11380828133106449	-0.03904490181354677;-0.0020316387612065064;0.018968593229273852;-0.0007603560726667339;-0.011282474931919199;-0.02376628939711498;0.0071979952483275066	0.08285833758322012	0.3463412487715205	0.07525291159836398	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-F07_dfes.png
