"Environment","Bio_rep","Flask","Strain","Mut_ID","Sel_coef"
"37_SC5","1","1","LK6-D07","7","0.00362731435614332"
"37_SC5","1","1","LK6-D07","110","-0.0163053412320908"
"37_SC5","1","1","LK6-D07","26","-0.03535742"
"37_SC5","1","1","LK6-D07","92","0.0170597529546342"
"37_SC5","1","1","LK6-D07","21","-0.02584705"
"37_SC5","1","1","LK6-D07","27","-0.00541376462787474"
"37_SC5","1","1","LK6-D07","105","0.0010446427192829"
"37_SC5","1","1","LK6-D07","94","-0.00844865500000001"
"37_SC5","1","1","LK6-D07","58","0.0470655756817063"
"37_SC5","1","1","LK6-D07","3","0.004541405"
"37_SC5","1","1","LK6-D07","88","0.00359244727321843"
"37_SC5","1","1","LK6-D07","15","-0.00215562610534874"
"37_SC5","1","1","LK6-D07","108","0.0144150322944863"
"37_SC5","1","1","LK6-D07","84","0.00574908"
"37_SC5","1","1","LK6-D07","62","0.00643564776212161"
"37_SC5","1","1","LK6-D07","25","-0.03453225"
"37_SC5","1","1","LK6-D07","50","0.0374331184330224"
"37_SC5","1","1","LK6-D07","60","0.00945300926396847"
"37_SC5","1","1","LK6-D07","104","-0.00951957725"
"37_SC5","1","1","LK6-D07","46","-0.0135723545996122"
"37_SC5","1","1","LK6-D07","72","0.0175998987406382"
"37_SC5","1","1","LK6-D07","11","-0.0536068773959772"
"37_SC5","1","1","LK6-D07","34","0.0131187103837716"
"37_SC5","1","1","LK6-D07","24","-0.00371874666666667"
"37_SC5","1","1","LK6-D07","35","0.0152810514896896"
"37_SC5","1","1","LK6-D07","71","-0.03964591520561"
"37_SC5","1","1","LK6-D07","55","-0.0146744663131944"
"37_SC5","1","1","LK6-D07","2","0.00891460403819396"
"37_SC5","1","1","LK6-D07","103","-0.0262702865166688"
"37_SC5","1","1","LK6-D07","66","-0.00674446025716264"
"37_SC5","1","1","LK6-D07","53","-0.0324241733333333"
"37_SC5","1","1","LK6-D07","120","-0.00205792566666667"
"37_SC5","1","1","LK6-D07","73","-0.07500936"
"37_SC5","1","1","LK6-D07","16","0.00525682291204439"
"37_SC5","1","1","LK6-D07","43","-0.08030776"
"37_SC5","1","1","LK6-D07","63","0.0292089825"
"37_SC5","1","1","LK6-D07","22","0.014271825"
"37_SC5","1","1","LK6-D07","45","-0.038867325"
"37_SC5","1","1","LK6-D07","14","0.023519786"
"37_SC5","1","2","LK1-A02","1","-0.00391955640647702"
"37_SC5","1","2","LK1-A02","108","-0.00319065144218944"
"37_SC5","1","2","LK1-A02","124","-9.24725041049754e-05"
"37_SC5","1","2","LK1-A02","76","-0.0620893392420954"
"37_SC5","1","2","LK1-A02","99","0.000919678489595358"
"37_SC5","1","2","LK1-A02","102","0.000141708481007545"
"37_SC5","1","2","LK1-A02","70","-0.112632374128036"
"37_SC5","1","2","LK1-A02","94","-0.0279518381439155"
"37_SC5","1","2","LK1-A02","29","0.00603535331577144"
"37_SC5","1","2","LK1-A02","104","0.00138579050098188"
"37_SC5","1","2","LK1-A02","40","-0.0736530987352472"
"37_SC5","1","2","LK1-A02","96","-0.00210613007430132"
"37_SC5","1","2","LK1-A02","10","-0.00148664524779782"
"37_SC5","1","2","LK1-A02","3","-0.00339173984136819"
"37_SC5","1","2","LK1-A02","71","-0.0573469829492282"
"37_SC5","1","2","LK1-A02","11","0.00362904916237"
"37_SC5","1","2","LK1-A02","27","-0.0033781786919014"
"37_SC5","1","2","LK1-A02","127","-0.0171075"
"37_SC5","1","2","LK1-A02","93","-0.0841562591190916"
"37_SC5","1","2","LK1-A02","66","-0.112561537241117"
"37_SC5","1","2","LK1-A02","30","-0.0346920291879859"
"37_SC5","1","2","LK1-A02","58","-0.00905457910211015"
"37_SC5","1","2","LK1-A02","14","-0.0119750989397652"
"37_SC5","1","2","LK1-A02","80","0.0175821686173367"
"37_SC5","1","2","LK1-A02","15","0.00426474331678824"
"37_SC5","1","2","LK1-A02","95","-0.02160596"
"37_SC5","1","2","LK1-A02","34","-0.04699609"
"37_SC5","1","2","LK1-A02","35","0.00573441685935992"
"37_SC5","1","2","LK1-A02","92","0.00285037989567409"
"37_SC5","1","2","LK1-A02","44","-0.00148837267326953"
"37_SC5","1","2","LK1-A02","110","-0.0193460978634282"
"37_SC5","1","2","LK1-A02","103","-0.0368981416673789"
"37_SC5","1","2","LK1-A02","6","0.0053009211671004"
"37_SC5","1","2","LK1-A02","60","0.00664252268176042"
"37_SC5","1","2","LK1-A02","55","-0.0934074428002402"
"37_SC5","1","2","LK1-A02","73","0.00241334118346675"
"37_SC5","1","2","LK1-A02","18","-0.0433898010817158"
"37_SC5","1","2","LK1-A02","7","0.00156225046877442"
"37_SC5","1","2","LK1-A02","36","-0.01682645"
"37_SC5","1","2","LK1-A02","101","0.00889757436790993"
"37_SC5","1","2","LK1-A02","46","-0.0421211289329571"
"37_SC5","1","2","LK1-A02","114","0.0154567058414592"
"37_SC5","1","2","LK1-A02","2","0.00661477341059246"
"37_SC5","1","2","LK1-A02","68","0.00553338902063463"
"37_SC5","1","2","LK1-A02","42","-0.0119110525"
"37_SC5","1","2","LK1-A02","17","-0.0319932654529988"
